"name","race","sex","called","educ","exp","honors","volunteer","cvquality","city","fracblack","fracdropout","logincome"
"Allison","White","Female","No","College +",6,"No","No","Low","Chicago",0.989359557628632,0.274150967597961,8.70632457733154
"Kristen","White","Female","No","Some college",6,"No","Yes","High","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Lakisha","Black","Female","No","College +",6,"No","No","Low","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Latonya","Black","Female","No","Some college",6,"No","Yes","High","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Carrie","White","Female","No","Some college",22,"No","No","High","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Jay","White","Male","No","College +",6,"Yes","No","Low","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Jill","White","Female","No","College +",5,"No","Yes","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Kenya","Black","Female","No","Some college",21,"No","Yes","High","Chicago",0.116623893380165,0.139842763543129,9.93372535705566
"Latonya","Black","Female","No","College +",3,"No","No","Low","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Tyrone","Black","Male","No","College +",6,"No","Yes","High","Chicago",0.992042720317841,0.295093417167664,8.50734519958496
"Aisha","Black","Female","No","College +",8,"No","Yes","High","Chicago",0.704645395278931,0.15066847205162,9.66820812225342
"Allison","White","Female","No","College +",8,"No","No","High","Chicago",0.992042720317841,0.295093417167664,8.50734519958496
"Aisha","Black","Female","No","College +",4,"No","No","Low","Chicago",0.945290684700012,0.25186488032341,8.93406009674072
"Carrie","White","Female","No","College +",4,"No","No","Low","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Aisha","Black","Female","No","College +",5,"No","Yes","High","Chicago",0.97707724571228,0.231248930096626,8.87933349609375
"Geoffrey","White","Male","No","Highschool dropout",4,"No","No","Low","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Matthew","White","Male","No","College +",5,"No","Yes","High","Chicago",0.051354181021452,0.0744308531284332,10.5600481033325
"Tamika","Black","Female","No","College +",6,"No","No","Low","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Jill","White","Female","No","College +",6,"Yes","Yes","High","Chicago",NA,NA,NA
"Latonya","Black","Female","No","Highschool",8,"No","No","Low","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Leroy","Black","Male","No","College +",4,"No","Yes","High","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Todd","White","Male","No","College +",3,"No","No","Low","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Allison","White","Female","No","Highschool",2,"No","No","Low","Chicago",0.00217499886639416,0.299457043409348,9.3661470413208
"Carrie","White","Female","No","College +",7,"No","No","Low","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Greg","White","Male","No","College +",3,"No","Yes","High","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
